THIRD PARTY STATION,4224591,1801862362,PROFESSIONAL PHARMACY SERVICES INC,2213 D W PALMETTO ST,,FLORENCE,SC,29501,Florence,843 665-4051,843 665-4786
TARGET CORPORATION,4224616,1245252998,TARGET PHARMACY,450 AZALEA SQUARE BLVD,,SUMMERVILLE,SC,29483,Berkeley,843 871-6935,843 486-7049
DEPT OF VETERANS AFFAIRS,4224628,1265490262,CHARLESTON VAMC PHARMACY,109 BEE ST,,CHARLESTON,SC,29401,Charleston,843 789-7221,845 805-5965
WALGREENS DRUG STORE,4224642,1285649368,WALGREENS #7447,2700 WADE HAMPTON BLVD,,GREENVILLE,SC,29615,Greenville,864 268-7045,864 268-7163
RITE AID CORPORATION,4224654,1053410266,RITE AID PHARMACY 11575,2723 MAIN STREET,,NEWBERRY,SC,29108,Newberry,803 276-7582,803 276-7378
GOOD NEIGHBOR PHCY PROVIDER NTWK,4224666,1821117375,TLC MEDICAL CENTRE,190 CREPE MYRTLE COURT,,AIKEN,SC,29803,Aiken,803 648-7800,803 648-7277
WALGREENS DRUG STORE,4224678,1194730283,WALGREENS #7648,2410 REIDVILLE RD,,SPARTANBURG,SC,29301,Spartanburg,864 587-9404,864 587-9504
WALGREENS DRUG STORE,4224680,1003821190,WALGREENS #6136,4467 DEVINE ST,,COLUMBIA,SC,29205,Richland,803 787-0916,803 787-4158
WALGREENS DRUG STORE,4224692,1912912007,WALGREENS #7593,3681 BOILING SPRINGS RD,,BOILING SPRINGS,SC,29316,Spartanburg,864 578-2345,864 578-2434
WALGREENS DRUG STORE,4224705,1821003914,WALGREENS #7279,101 W WADE HAMPTON BLVD,,GREER,SC,29650,Greenville,864 968-1919,864 968-2029
WALGREENS DRUG STORE,4224717,1730194820,WALGREENS #7399,423 W MAIN ST,,LEXINGTON,SC,29072,Lexington,803 957-3689,803 957-0789
WALGREENS DRUG STORE,4224729,1649285735,WALGREENS #7626,2498 SECOND LOOP RD,,FLORENCE,SC,29501,Florence,843 317-1158,843 317-1953
,4224743,1043279789,INTRAMED PLUS INC,4995 LACROSS RD.,STE 1200,NORTH CHARLESTON,SC,29406,Charleston,843 763-2080,843 763-9916
,4224755,1386603025,INTRAMED PLUS INC,1200 WOODRUFF RD,STE G-28,GREENVILLE,SC,29607,Greenville,864 281-1553,864 281-1583
NEIGHBORCARE PHARMACY SERVICES INC,4224767,1073699849,OMNICARE OF BISHOP GADSDEN,1 BISHOP GADSDEN WAY,,CHARLESTON,SC,29412,Charleston,843 406-0902,843 406-0092
AMERICAN PHARMACY NETWORK SOLUTIONS,4224793,1619002722,MORGANS PHARMACY,4079 AUGUSTA HWY,SUITE A,GILBERT,SC,29054,Lexington,803 892-5426,803 892-5989
PUBLIX SUPER MARKETS INC,4224806,1205877792,PUBLIX PHARMACY #0883,2732 NORTH LAKE DRIVE,,COLUMBIA,SC,29212,Lexington,803 407-2632,803 407-3798
TARGET CORPORATION,4224818,1154343804,TARGET PHARMACY,7250 RIVERS AVE,,NORTH CHARLESTON,SC,29406,Charleston,843 572-8918,843 572-8918
WALGREENS DRUG STORE,4224820,1558376640,WALGREENS #7446,1014 MONTAGUE AVE,,GREENWOOD,SC,29649,Greenwood,864 223-6503,864 223-6671
WALGREENS DRUG STORE,4224832,1467467555,WALGREENS #7572,2323 E NORTH ST,,GREENVILLE,SC,29607,Greenville,864 233-5602,864 233-9725
BI LO LLC,4224844,1285727644,BI LO PHARMACY 5624,699 FAIRVIEW ROAD,,SIMPSONVILLE,SC,29680,Greenville,864 967-2660,864 967-2676
CVS PHARMACY INC,4224868,1942304753,CVS PHARMACY,640 LONG POINT RD,,MT PLEASANT,SC,29464,Charleston,843 881-5644,
PUBLIX SUPER MARKETS INC,4224882,1093755431,PUBLIX PHARMACY #0017,7320 BROAD RIVER ROAD,,IRMO,SC,29063,Richland,803 407-0436,803 407-0662
RITE AID CORPORATION,4224894,1518063031,RITE AID PHARMACY 11659,202 SCUFFLETOWN ROAD,,SIMPSONVILLE,SC,29681,Greenville,864 458-8455,864 458-9596
RITE AID CORPORATION,4224907,1962501171,RITE AID PHARMACY 11572,7338 BROAD RIVER ROAD,,IRMO,SC,29063,Richland,803 749-8110,803 749-4581
EPIC PHARMACY NETWORK INC,4224919,1700923117,MEDCARE PHARMACY,1114 COTTINGHAM BLVD,,BENNETSVILLE,SC,29512,Marlboro,843 479-7101,843 479-3561
AMERICAN PHARMACY NETWORK SOLUTIONS,4224933,1851508477,LANCASTER PHARMACY & WELLNESS,108 N WOODLAND DR STE C,,LANCASTER,SC,29720,Lancaster,803 286-6262,803 286-0002
WALMART STORES INC,4224957,1124045398,WAL-MART PHARMACY 10-5087,550 HIGHWAY 17 NORTH,,NORTH MYRTLE BEACH,SC,29582,Horry,843 281-8176,
RX PRIDE LLC,4224971,1104994938,CREEKSIDE PHARMACY,1007 CREEKSIDE MEDICAL DRIVE,,YORK,SC,29745,York,803 684-9096,803 684-9094
FREDS PHARMACY,4224983,1477585313,FREDS PHARMACY,311 EAST MAIN STREET,,ANDREWS,SC,29510,Georgetown,843 264-6656,843 264-6684
ACCESSHEALTH,4225000,1801989108,LONGS DRUGS GARNERS FERRY,9019 GARNERS FERRY RD,,HOPKINS,SC,29061,Richland,803 227-6890,803 227-6895
TARGET CORPORATION,4225012,1063434710,TARGET PHARMACY,694 FAIRVIEW ROAD,,SIMPSONVILLE,SC,29680,Greenville,864 963-4406,864 963-4406
COSTCO PHARMACIES,4225036,1821108457,COSTCO PHARMACY,1021 OAK FOREST LANE,,MYRTLE BEACH,SC,29577,Horry,843 839-6606,843 839-6632
PUBLIX SUPER MARKETS INC,4225074,1902846348,PUBLIX PHARMACY #1081,1125 PARK WEST BLVD,,MOUNT PLEASANT,SC,29466,Charleston,843 388-2908,843 388-6694
WALGREENS DRUG STORE,4225086,1376558460,WALGREENS #7702,9998 DORCHESTER RD,,SUMMERVILLE,SC,29485,Dorchester,843 851-2044,843 851-8633
LEADER DRUG STORES INC,4225098,1033207493,"CORNERSTONE CARE PHARMACY, INC",209C S GRIFFIN ST,,FLORENCE,SC,29506,Florence,843 665-9199,843 667-0585
THIRD PARTY STATION CP,4225101,1053322628,UNION FAMILY PHARMACY LLC,528 A RICE AVE,,UNION,SC,29379,Union,864 427-3700,864 427-3900
RITE AID CORPORATION,4225113,1871692087,RITE AID PHARMACY 11630,7800 NORTH KINGS HIGHWAY,,MYRTLE BEACH,SC,29572,Horry,843 497-9995,843 497-9592
MHA LONG TERM CARE NETWORK,4225137,1942241880,AGAPE PHARMACY,1626 MAIN ST,,COLUMBIA,SC,29201,Richland,803 739-4278,803 451-7128
INGLES MARKETS PHARMACY,4225163,1477568327,INGLES PHARMACY,211 INGLES PLACE,,SENECA,SC,29678,Oconee,864 886-0615,864 985-0722
WALGREENS DRUG STORE,4225187,1285649376,WALGREENS #2681,6057 WHITE HORSE RD,,GREENVILLE,SC,29611,Greenville,864 295-0118,864 295-1959
CVS PHARMACY INC,4225202,1851495667,CVS PHARMACY,5895 REIDVILLE RD,,MOORE,SC,29369,Spartanburg,864 486-6990,
WALMART STORES INC,4225214,1083632822,WAL-MART PHARMACY 10-3222,1286 EIGHTEEN MILE ROAD,,CENTRAL,SC,29630,Pickens,864 639-5665,864 639-3064
WALGREENS DRUG STORE,4225238,1558378505,WALGREENS #6073,54 OLD TROLLEY RD,,SUMMERVILLE,SC,29485,Dorchester,843 871-1637,843 871-6856
WALGREENS DRUG STORE,4225264,1093720187,WALGREENS #1073,1010 OLD BARNWELL RD,,WEST COLUMBIA,SC,29170,Lexington,803 358-0601,803 358-0713
WALGREENS DRUG STORE,4225276,1902811094,WALGREENS #2452,2811 N MAIN ST,,ANDERSON,SC,29621,Anderson,864 225-0196,864 225-3631
WALGREENS DRUG STORE,4225288,1811902901,WALGREENS #7506,1290 CHESTNUT ST,,ORANGEBURG,SC,29115,Orangeburg,803 531-0426,803 531-6659
WALGREENS DRUG STORE,4225303,1720093818,WALGREENS #7822,1790 EAST MAIN ST,,SPARTANBURG,SC,29307,Spartanburg,864 583-1597,864 583-2908
BI LO LLC,4225327,1588757785,BI LO PHARMACY 5101,1440 BEN SAWYER BLVD,,MT PLEASANT,SC,29464,Charleston,843 388-2504,843 856-0574
HARRIS TEETER INC,4225339,1821191792,HARRIS TEETER PHARMACY,1750 HWY 160 W,,FORT MILL,SC,29708,York,803 396-0450,803 396-0452
WALGREENS DRUG STORE,4225341,1639184724,WALGREENS #1072,1120 N MAIN ST,,SUMMERVILLE,SC,29483,Berkeley,843 821-4873,843 821-7929
TARGET CORPORATION,4225353,1972525624,TARGET PHARMACY,6090A GARNERS FERRY RD,,COLUMBIA,SC,29209,Richland,803 783-3752,803 234-8406
TARGET CORPORATION,4225365,1881616530,TARGET PHARMACY,6025 WADE HAMPTON BLVD,,TAYLORS,SC,29687,Greenville,864 879-9721,864 879-9721
GOOD NEIGHBOR PHCY PROVIDER NTWK,4225377,1285633289,SOUTH CAROLINA CANCER SPECIALISTS,45 HOSPITAL CENTER COMMONS,,HILTON HEAD ISLAND,SC,29926,Beaufort,843 689-2895,843 689-9270
HOME CHOICE PARTNERS INC,4225389,1649359928,HOMECHOICE PARTNERS,160 CONGRESS BLVD,STE D,DUNCAN,SC,29334,Spartanburg,864 583-8190,864 583-8193
RITE AID CORPORATION,4225391,1588765333,RITE AID PHARMACY 11617,600 ST JAMES AVENUE,,GOOSE CREEK,SC,29445,Berkeley,843 569-3114,843 569-6983
PUBLIX SUPER MARKETS INC,4225430,1811937253,PUBLIX PHARMACY #1012,111 WEST BUTLER ROAD,,MAULDIN,SC,29662,Greenville,864 987-1607,864 987-9513
GOOD NEIGHBOR PHCY PROVIDER NTWK,4225492,1033291513,SC ONCOLOGY RETAIL PHARMACY,166 STONERIDGE DR,,COLUMBIA,SC,29210,Richland,803 461-3709,803 461-3426
GOOD NEIGHBOR PHCY PROVIDER NTWK,4225505,1558309534,BLYTHEWOOD PHARMACY AND HOME MEDICAL EQUIPMENT,420B MCNULTY RD,,BLYTHEWOOD,SC,29016,Richland,803 786-8110,803 735-3302
WALGREENS DRUG STORE,4225531,1548275639,WALGREENS #9230,618 FAIRVIEW,,SIMPSONVILLE,SC,29680,Greenville,864 962-1838,864 962-1805
MCHUGH,4225543,1740370725,GASTON FAMILY PHARMACY,1118 MACK ST,,GASTON,SC,29053,Lexington,803 939-8489,803 939-8492
THIRD PARTY STATION CP,4225555,1255416616,PLANTATION PHARMACY,776 DANIEL ELLIS DR,,CHARLESTON,SC,29412,Charleston,843 795-9554,843 795-2660
EPIC PHARMACY NETWORK INC,4225567,1548374242,TEGA CAY FAMILY PHARMACY,729 CROSSROADS PLAZA,,FORT MILL,SC,29708,York,803 547-6100,803 547-7720
RITE AID CORPORATION,4225581,1407955610,RITE AID PHARMACY 11588,7900 GARNERS FERRY ROAD,,COLUMBIA,SC,29209,Richland,803 695-1116,803 695-1119
BI LO LLC,4225606,1093808453,BI LO PHARMACY 5638,120 FORUM DRIVE,,COLUMBIA,SC,29229,Richland,803 699-8332,803 865-0327
WALGREENS DRUG STORE,4225618,1457366544,WALGREENS #9284,1326 N JEFFERIES BLVD,,WALTERBORO,SC,29488,Colleton,843 549-3475,843 549-9642
FREDS PHARMACY,4225620,1942331780,FREDS PHARMACY OF TENNESSEE INC,106 JIMMY MARTIN CIR,,GASTON,SC,29053,Lexington,803 794-5233,803 794-5543
THIRD PARTY STATION,4225644,1497809479,CAROLINA COMMUNITY PHARMACY,420 EPTING AVE,,GREENWOOD,SC,29646,Greenwood,864 889-9304,864 330-8230
EPIC PHARMACY NETWORK INC,4225656,1043303498,CARE PHARMACY OF SURFSIDE LLC,320 HWY 17 N,,SURFSIDE BEACH,SC,29575,Horry,843 238-9292,843 477-0300
WALGREENS DRUG STORE,4225668,1366457459,WALGREENS #9232,2407 BROAD ST,,CAMDEN,SC,29020,Kershaw,803 424-0988,803 424-2542
WALMART STORES INC,4225670,1033136205,SAM'S PHARMACY 10-8142,200 PEACHWOOD CENTRE DR,,SPARTANBURG,SC,29301,Spartanburg,864 595-2661,
WALMART STORES INC,4225707,1942227111,WAL-MART PHARMACY 10-3367,4920 CENTRE POINTE DRIVE,,NORTH CHARLESTON,SC,29418,Charleston,843 740-5484,
TARGET CORPORATION,4225719,1699797340,TARGET PHARMACY,1150 SEABOARD ST,,MYRTLE BEACH,SC,29577,Horry,843 626-5034,843 213-2892
WALGREENS DRUG STORE,4225721,1275548364,WALGREENS #7652,868 FORDING ISLAND RD,,BLUFFTON,SC,29910,Beaufort,843 815-9960,843 815-9946
THE KROGER CO,4225733,1770517401,KROGER PHARMACY,1795 WHISKEY ROAD,,AIKEN,SC,29803,Aiken,803 642-5371,803 642-5417
,4225745,1811103534,SCANA CORP HEALTH AND WELFARE PLAN PHARMACY,100 SCANA PKWY,,CAYCE,SC,29033,Lexington,803 217-9173,803 217-9717
LEADER DRUG STORES INC,4225757,1265515795,VINCENTS DRUG STORE,110 PLANTED ROW LANE,,JOHNS ISLAND,SC,29455,Charleston,843 243-0007,843 243-0039
RX CARE PLUS PHARMACIES,4225769,1700815826,RX CARE PLUS ROEBUCK,4795 S CHURCH ST,,ROEBUCK,SC,29376,Spartanburg,864 595-1220,867 595-1433
WALGREENS DRUG STORE,4225783,1184639270,WALGREENS #9273,2539 W WHITNER ST,,ANDERSON,SC,29624,Anderson,864 226-1955,864 226-9307
WALGREENS DRUG STORE,4225795,1992710081,WALGREENS #9082,104 W BUTLER,,MAULDIN,SC,29662,Greenville,864 297-0385,864 297-1235
CVS PHARMACY INC,4225808,1760586572,CVS PHARMACY,2884 HWY 17 N,,MT. PLEASANT,SC,29466,Charleston,843 216-7021,
WALGREENS DRUG STORE,4225810,1467469411,WALGREENS #9276,1990 MCCRAYS MILL RD,,SUMTER,SC,29150,Sumter,803 418-5212,803 934-9435
GERIMED LTC NETWORK INC,4225858,1417952425,ORANGE NURSING HOME SERVICES,145 SMOAK ALLEY,,ORANGEBURG,SC,29115,Orangeburg,803 534-5931,803 531-4584
WALGREENS DRUG STORE,4225860,1801801998,WALGREENS #1252,2018 AUGUSTA ST,,GREENVILLE,SC,29605,Greenville,864 232-0434,864 232-9152
WALGREENS DRUG STORE,4225872,1487781217,ASSOCIATE FAMILY PHARMACY,415 BROCKMAN MCCLIMON RD STE B,,GREER,SC,29651,Spartanburg,864 801-0411,864 801-0499
WALGREENS DRUG STORE,4225884,1710992805,WALGREENS #9487,1223 SAINT ANDREWS RD,,COLUMBIA,SC,29210,Richland,803 731-2369,803 731-5194
WALGREENS DRUG STORE,4225909,1629083712,WALGREENS #9542,1 S ALLIANCE DR,,GOOSE CREEK,SC,29445,Berkeley,843 824-9361,843 824-9407
,4225923,1467581819,CATAWBA INDIAN HLTH CTR PHARMACY,2893 STURGIS RD,,ROCK HILL,SC,29730,York,803 366-9090,803 366-9133
HARRIS TEETER INC,4225935,1609989219,HARRIS TEETER PHARMACY,675 FOLLY RD,,CHARLESTON,SC,29412,Charleston,843 406-7085,843 406-7502
BI LO LLC,4225959,1902999360,BI LO PHARMACY 5723,300 KNOX ABBOTT DRIVE,,CAYCE,SC,29033,Lexington,803 926-4974,803 926-8754
BI LO LLC,4225961,1396838595,BI LO PHARMACY 5722,1419 CHAPIN ROAD,,CHAPIN,SC,29036,Lexington,803 345-0679,803 345-1817
BI LO LLC,4225973,1205929403,BI LO PHARMACY 5720,1329 WEST HWY 160,,FORT MILL,SC,29715,York,803 548-6877,803 548-8059
BI LO LLC,4225985,1487747689,BI LO PHARMACY 5719,1095 FILBERT HWY,,YORK,SC,29745,York,803 628-6372,803 628-6278
BI LO LLC,4226002,1720171184,BI LO PHARMACY 5716,1401 E MAIN ST,,ROCK HILL,SC,29730,York,803 980-3600,803 980-2939
BI LO LLC,4226014,1205929304,BI LO PHARMACY 5712,1703 ELM ST WEST,,HAMPTON,SC,29924,Hampton,803 943-0683,803 943-0783
INGLES MARKETS PHARMACY,4226076,1386659233,INGLES PHARMACY,4600 HWY 9,,INMAN,SC,29349,Spartanburg,864 814-3643,864 814-3711
CVS PHARMACY INC,4226090,1891892394,CVS PHARMACY,3411 SOCASTEE BLVD,,MYRTLE BEACH,SC,29588,Horry,843 294-1285,
SMART ID WORKS LLC,4226115,1336107424,"CHARLESTON HEMATOLOGY ONCOLOGY ASSOCIATES, PA.",125 DOUGHTY ST,STE 500,CHARLESTON,SC,29403,Charleston,843 577-2276,843 723-4358
EPIC PHARMACY NETWORK INC,4226139,1538195029,SANDHILLS MEDICAL PHARMACY,40 BALDWIN AVE,,LUGOFF,SC,29078,Kershaw,803 438-5537,803 438-5546
INNOVATIX NETWORK LLC,4226141,1174523534,RICHARD M CAMPBELL VETERANS NURS,4605 BELTON HIGHWAY,,ANDERSON,SC,29621,Anderson,864 261-6734,864 261-0453
EPIC PHARMACY NETWORK INC,4226165,1922195122,SEASHORE DRUGS,1304 HWY 17 N,,LITTLE RIVER,SC,29566,Horry,843 281-9797,843 281-9771
RX CARE PLUS PHARMACIES,4226177,1902836018,RX CARE PLUS BOILING SPRINGS,2510 BOILING SPRINGS RD,UNIT A,BOILING SPRINGS,SC,29316,Spartanburg,864 578-0155,864 578-8268
FAMILY CARE PHARMACY NETWORK,4226189,1891814943,RUPERT J MCCORMAC IV MD,WOODLANDS TREATMENT CENTER,155 BROZZINI COURT STE E,GREENVILLE,SC,29615,Greenville,864 288-7636,864 288-7978
DEPT OF VETERANS AFFAIRS,4226228,1265490155,GREENVILLE VA CBOC PHARMACY,3510 AUGUSTA RD,,GREENVILLE,SC,29605,Greenville,864 299-1600,864 422-2614
,4226230,1972547289,ST GEORGE MED CNTR PHCY,401 RIDGE ST,,ST GEORGE,SC,29477,Dorchester,843 636-9130,843 563-8229
INGLES MARKETS PHARMACY,4226242,1194730044,INGLES PHARMACY,854 HWY 93,,CLEMSON,SC,29631,Pickens,864 654-3094,864 654-3109
WALMART STORES INC,4226254,1851318026,WAL-MART PHARMACY 10-5487,9 BENTON ROAD,,TRAVELERS REST,SC,29690,Greenville,864 834-9224,
MHA LONG TERM CARE NETWORK,4226266,1578506853,MED CENTER LTC PHARMACY,209 RUSSELL ST,SUITE C,DARLINGTON,SC,29532,Darlington,843 398-7015,843 398-2017
WALGREENS DRUG STORE,4226280,1538174628,WALGREENS #9597,1801 POINSETT HWY,,GREENVILLE,SC,29609,Greenville,864 240-5390,864 240-8448
WALGREENS DRUG STORE,4226305,1376550327,WALGREENS #7956,11 N CAUSEWAY RD,,PAWLEYS ISLAND,SC,29585,Georgetown,843 979-1075,843 979-1082
WALGREENS DRUG STORE,4226329,1366459323,WALGREENS #9637,106 HWY 28 BYP,,ANDERSON,SC,29624,Anderson,864 296-3127,864 296-5288
WALGREENS DRUG STORE,4226331,1033122635,WALGREENS #9805,7412 BROAD RIVER RD,,IRMO,SC,29063,Richland,803 749-3046,
FAMILY CARE PHARMACY NETWORK,4226343,1609943901,NEW HORIZON PHARMACY,111 A BERRY AVE,,GREER,SC,29651,Greenville,864 801-2035,864 416-0275
WALGREENS DRUG STORE,4226355,1609821875,WALGREENS #9737,1005 S GOVERNOR WILLIAMS HWY,,DARLINGTON,SC,29532,Darlington,843 393-2679,
WALGREENS DRUG STORE,4226379,1356377402,WALGREENS #9834,1098 FRASER ST,,GEORGETOWN,SC,29440,Georgetown,843 545-1732,843 545-1765
CVS PHARMACY INC,4226393,1700983202,CVS PHARMACY,1740 HIGHWAY 160 W,,FORT MILL,SC,29708,York,803 802-4424,
SMART ID WORKS LLC,4226420,1679687651,CHARLESTON HEMATOLOGY AND ONCOLOGY PA,2085 HENRY TECKLENBURG DR,,CHARLESTON,SC,29414,Charleston,843 577-6957,843 266-2981
WALGREENS DRUG STORE,4226432,1215940945,WALGREENS #10163,1601 SANDIFIER BLVD,,SENECA,SC,29678,Oconee,864 885-0889,
CVS PHARMACY INC,4226444,1619074119,CVS PHARMACY,4767 BROAD ST,,LORIS,SC,29569,Horry,843 716-1220,
INGLES MARKETS PHARMACY,4226456,1205910338,INGLES PHARMACY,8004 WARREN H. ABERNATHY HWY,,SPARTANBURG,SC,29301,Spartanburg,864 574-3130,864 574-5870
INGLES MARKETS PHARMACY,4226482,1720192610,INGLES PHARMACY,901 E MAIN ST,,LAURENS,SC,29360,Laurens,864 984-1492,864 984-9463
WALGREENS DRUG STORE,4226494,1013011410,WALGREENS #9879,1106 JOHN C CALHOUN DR,,ORANGEBURG,SC,29115,Orangeburg,803 531-2079,
WALGREENS DRUG STORE,4226507,1790894061,WALGREENS #10257,395 N HWY 52,,MONCKS CORNER,SC,29461,Berkeley,843 899-6601,
HARRIS TEETER INC,4226521,1235240706,HARRIS TEETER PHARMACY,2750 CELANESE RD,,ROCK HILL,SC,29732,York,803 329-6262,803 329-6270
WALGREENS DRUG STORE,4226533,1811060650,WALGREENS #9996,837 W FLOYD BAKER BLVD,,GAFFNEY,SC,29341,Cherokee,864 902-0374,
WALGREENS DRUG STORE,4226545,1215007679,WALGREENS #10227,175 FORUM DR,,COLUMBIA,SC,29229,Richland,803 699-7067,
WALGREENS DRUG STORE,4226557,1841374097,WALGREENS #9774,1 THE PARKWAY,,GREENVILLE,SC,29615,Greenville,864 288-9334,
WALGREENS DRUG STORE,4226583,1780750646,WALGREENS #10448,1101 HIGHWAY 9 BYP W,,LANCASTER,SC,29720,Lancaster,803 289-1223,
PHYSICIANS TOTAL CARE,4226595,1639276561,PRIMARYRX,2000 SAM RITTENBERG BLVD,SUITE 116,CHARLESTON,SC,29407,Charleston,843 769-7633,843 769-7693
PUBLIX SUPER MARKETS INC,4226608,1023104890,PUBLIX PHARMACY #1120,1585 CENTRAL AVE,SUITE A,SUMMERVILLE,SC,29483,Dorchester,843 832-4247,843 832-4325
RITE AID CORPORATION,4226610,1306919246,RITE AID PHARMACY 11917,2901 NORTH KINGS HIGHWAY,,MYRTLE BEACH,SC,29577,Horry,843 444-2479,
GERIMED LTC NETWORK INC,4226622,1710069596,PALMETTO RX SOLUTIONS INC,8 HARBISON WY,,COLUMBIA,SC,29212,Richland,803 454-2290,803 454-2294
MDS RX,4226634,1487687448,HEALTH FIRST RAPID CARE,8740 RIVERS AVE,,NORTH CHARLESTON,SC,29406,Charleston,843 572-5990,888 318-5567
PUBLIX SUPER MARKETS INC,4226646,1013089036,PUBLIX PHARMACY #1055,1435 BEN SAWYER BLVD,,MT PLEASANT,SC,29464,Charleston,843 856-3187,843 856-3247
FREDS PHARMACY,4226658,1083826689,FREDS PHARMACY,1521 JEFFERSON DAVIS HWY,,CAMDEN,SC,29020,Kershaw,803 425-8240,
CVS PHARMACY INC,4226684,1700949328,CVS PHARMACY,900 ASSEMBLY ST,,COLUMBIA,SC,29201,Richland,803 212-7016,
WALGREENS DRUG STORE,4226709,1528104767,WALGREENS #10390,1232 W WADE HAMPTON BLVD,,GREER,SC,29650,Greenville,864 801-2337,
WALGREENS DRUG STORE,4226711,1396890638,WALGREENS #10447,1210 HWY 301 N,,DILLON,SC,29536,Dillon,843 774-2707,
WALGREENS DRUG STORE,4226747,1891814000,WALGREENS #10162,1716 PLEASANT RD,,FT MILLS,SC,29708,York,803 802-7644,
GOOD NEIGHBOR PHCY PROVIDER NTWK,4226759,1255472627,PAGELAND FAMILY PHARMACY,214 SOUTH VAN LINGLE MUNGO BLVD,,PAGELAND,SC,29728,Chesterfield,843 675-2323,843 675-2025
FOOD LION LLC,4226761,1396897021,FOOD LION,135 MARKET PLAZA DR,,NO AUGUSTA,SC,29860,Edgefield,803 278-2476,803 278-2405
ACCESSHEALTH,4226773,1588709828,SUMMERTON DRUGS COMPOUNDING AND DISPENSARY,115 B MAIN ST,,SUMMERTON,SC,29148,Clarendon,803 485-8586,803 485-4306
CVS PHARMACY INC,4226800,1720111305,CVS PHARMACY,1602 CENTRAL AVE,,SUMMERVILLE,SC,29483,Dorchester,843 871-0801,
WALGREENS DRUG STORE,4226836,1942328448,WALGREENS #10595,1146 CHERAW ST,,BENNETTSVILLE,SC,29512,Marlboro,843 454-1818,
WALGREENS DRUG STORE,4226850,1902925118,WALGREENS #10226,1251 DUTCH FORK RD,,IRMO,SC,29063,Richland,803 749-7099,
WALGREENS DRUG STORE,4226862,1326250952,WALGREENS #10229,1376 S MAIN ST,,GREENWOOD,SC,29646,Greenwood,864 953-2251,
WALMART STORES INC,4226886,1396962395,WAL-MART PHARMACY 10-4379,1326 BUSH RIVER ROAD,,COLUMBIA,SC,29210,Lexington,803 750-3284,
WALMART STORES INC,4226898,1548488281,WAL-MART PHARMACY 10-4420,115 EAST CHURCH STREET,,BATESBURG,SC,29070,Lexington,803 532-5226,
PUBLIX SUPER MARKETS INC,4226901,1639390941,PUBLIX PHARMACY #1148,400 E MCBEE AVE,STE 100,GREENVILLE,SC,29601,Greenville,864 240-2020,864 240-2024
WALGREENS DRUG STORE,4226913,1457560328,WALGREENS #10389,902 PELHAM RD,,GREENVILLE,SC,29615,Greenville,864 234-6462,
WALGREENS DRUG STORE,4226925,1871700922,WALGREENS #10581,1228 KNOX AVE,,NORTH AUGUSTA,SC,29841,Aiken,803 279-3279,
WALGREENS DRUG STORE,4226937,1386855377,WALGREENS #10230,1537 CHARLESTON HWY,,WEST COLUMBIA,SC,29169,Lexington,803 796-3392,
TARGET CORPORATION,4226949,1316155823,TARGET PHARMACY,5119 SUNSET BLVD,,LEXINGTON,SC,29072,Lexington,803 520-2859,803 520-2859
BI LO LLC,4226951,1003017120,BI LO PHARMACY 5704,101 VERDAE BLVD,,GREENVILLE,SC,29607,Greenville,864 627-4490,864 627-4496
BI LO LLC,4226963,1912108085,BI LO PHARMACY 5661,120 HWY 14,,SIMPSONVILLE,SC,29681,Greenville,864 967-4968,864 967-9054
CVS PHARMACY INC,4226987,1811194194,CVS PHARMACY,101 FETLOCK DR,,MYRTLE BEACH,SC,29588,Horry,843 236-6300,
PUBLIX SUPER MARKETS INC,4226999,1518163484,PUBLIX PHARMACY #1145,3642 SAVANNAH HWY,,JOHNS ISLAND,SC,29455,Charleston,843 573-8780,843 573-8784
CVS PHARMACY INC,4227016,1366640955,CVS PHARMACY,59 GEORGE ST,,CHARLESTON,SC,29401,Charleston,843 720-8523,
COSTCO PHARMACIES,4227028,1518167493,COSTCO PHARMACY,1021 WOODRUFF RD,,GREENVILLE,SC,29607,Greenville,864 297-2569,864 297-2566
COSTCO PHARMACIES,4227030,1154521037,COSTCO PHARMACY,211 W BLACKSTOCK RD,,SPARTANBURG,SC,29301,Spartanburg,864 515-4949,864 515-4946
WALGREENS DRUG STORE,4227054,1801087556,WALGREENS #6898,3701 N KINGS HWY,,MYRTLE BEACH,SC,29577,Horry,843 448-9104,
HARRIS TEETER INC,4227066,1508064999,HARRIS TEETER PHARMACY,620 LONG POINTE RD,SUITE H,MT PLEASANT,SC,29464,Charleston,843 856-4902,843 856-4875
WALGREENS DRUG STORE,4227080,1912198169,WALGREENS #9761,502 GAPWAY ST,,MULLINS,SC,29574,Marion,843 464-0118,
FAMILY CARE PHARMACY NETWORK,4227092,1912198623,COMMUNITY MEDICINE,1131 SALUDA ST,,ROCK HILL,SC,29730,York,803 412-3352,803 412-3353
BI LO LLC,4227105,1275725665,BI LO PHARMACY 5709,4405 HWY 24,,ANDERSON,SC,29626,Anderson,864 226-7776,864 226-7176
WALMART STORES INC,4227129,1306045893,WAL-MART PHARMACY 10-4384,3000 PROPRIETORS PLACE,,MT PLEASANT,SC,29466,Charleston,843 884-2824,
WALMART STORES INC,4227131,1366642209,WAL-MART PHARMACY 10-4521,1780 SOUTH LAKE DRIVE,,LEXINGTON,SC,29073,Lexington,803 957-1321,
INGLES MARKETS PHARMACY,4227143,1285826974,INGLES PHARMACY,4396 HWY 24,,ANDERSON,SC,29626,Anderson,864 226-2398,864 375-0179
