lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
3663	No Primary Business Entity selected in facility list		Ninguna Empresa Primaria seleccionada en la lista del Centro	Ninguna Empresa Primaria seleccionada en la lista del Centro		Geen Primary Bisseness Entity geselecteerd in faciliteit lijst					没有经营实体，设施清单中选择		В списке услуг нет выбранного основного юридического лица			Tidak ada Entitas Bisnis Utam yang dipilih dalam daftar fasilitas	Δεν επιλέχθηκε καμία Πρωτογενής Επιχειρηματική Οντότητα στη λίστα με τις Έδρες				لم يتم إختيار منشأة العمل الرئيسية فى قائمة المنشأت					Nessuna attività principale selezionata nella lista struttura	सुविधा सूची में कोई प्राथमिक व्यापार इकाई चयनित नहीं है 		Không có Thực thể Kinh doanh Chính nào được trong trong danh sách cơ sở				Жоден медичний заклад не визначено як Основний									dummy
3664	No prior encounters.					Geen eerdere bezoeken		Pas de rencontre précedentes									Χωρίς προηγούμενες επισκέψεις				لا يوجد زيارة سابقة 					Nessun incontri precedenti.	कोई पूर्व मुठभेड़ नहीं है.						Немає попередніх звернень									dummy
3665	No procedures in this encounter.					Geen procedures voor dit bezoek		Pas de procédures sur cette rencontre.									Δεν υπάρχουν διαδικασίες σε αυτή την επίσκεψη				لا يوجد عمليات في هذه الزيارة 					Non ci sono procedure in questo incontro.	इस मुठभेड़ में कोई प्रक्रिया नहीं है.						Немає процедур для цього звернення									dummy
3666	No Providers Found		Ningun Facultativo Encontrado	Ningun Facultativo Encontrado	Keine Zulieferer gefunden	Geen behandelaars gevonden		Pas de fournisseurs trouvé.			没有提供发现	沒有找到提供者	Специалисты не найдены			Tidak Ditemukan Provider	Δεν βρέθηκαν Πάροχοι 		Nenhum Clínico Encontrado	Sem Indicação	لم يتم العثور على مزودين		Hiç bir Sağlayıcı Bulunamadı			Nessun fornitore trovato	प्रदाता नहीं मिला		Không Tìm thấy Nhà cung cấp nào				Не знайдено спеціалістів									dummy
3667	No rash or abnormal lesions		Ninguna erupción o lesiones anormales 	Ninguna erupción o lesiones anormales 		Geen uitslag of abnormale lesies		Pas de rashes ou de lésions annormale			没有皮疹或异常病变	沒有皮疹或異常病變	Сыпи или необычных телесных изменения нет			Tidak ada luka ruam atau abnormal	Χωρίς εξάνθημα ή ανώμαλες βλάβες 		Nenhuma lesão apressada ou anormal	Ausência de lesões cutânea ou anormal	لا يوجد طفح جلدي		Döküntü veya anormal lezyonlar yok			Non ci sono rash o lesioni anomale	लाल चकत्ते या असामान्य घाव नहीं है.		Không có phát ban hoặc các tổn thương bất thường				Немає висипу або аномальних уражень.									dummy
3668	No records found		Registros no encontrados	Registros no encontrados	Keine Aufzeichnungen gefunden	Geen status gevonden		Pas d\'enregistrement trouvé			没有找到记录	沒有找到記錄。	Записей не найдено			Tidak ada record(catatan) yang ditemukan	Δεν βρέθηκαν καταχωρήσεις		Nenhum registo encontrado		لك يتم العثور على الملف	Ingen optagelser fundet	Hiçbir kayıt bulunamadı. 	Brak wyników		Nessun record trovato	रिकॉर्ड नहीं मिला 		Không tìm thấy hồ sơ				Записів не знайдено.									dummy
3669	No records found. Please expand your search criteria.		Registros no encontrados. Por favor amplíe sus criterios de búsqueda. 	Registros no encontrados. Por favor amplíe sus criterios de búsqueda. 	Keine Einträge gefunden. Suche weiter formulieren.	Geen resultaten gevonden. Breidt uw zoekopdracht uit.		Pas d\'enregistrement trouvé. S\'ils vous plait généralisé vos critères de recherche.			没有找到记录。请扩大您的搜索条件。	沒有找到記錄。請擴大您的搜尋條件。	Ни одной записи не найдено. Расширьте критерий поиска.			Tidak ada record(catatan) yang ditemukan. Silahkan perluas kriteria pencarian anda.	Δεν βρέθηκαν καταχωρήσεις. Παρακαλώ επεκτείνατε τα κριτήρια αναζήτησης σας.		Nenhum registro achou. Por favor amplie seus critério de pesquisa.	Não foram encontrados registos. Por favor, expandir os seus critérios de busca.	لك يتم العثور على الملف. الرجاء توسيع متطلبات البحث	Ingen optagelser fundet. Udvid venligst deres søgekriterier	Hiçbir kayıt bulunamadı. Lütfen arama kriterlerinizi genişletiniz.	Brak wyników. Proszę zmienić kryteria wyszukiwania.		Nessun record trovato. Espandi i criteri di ricerca.	कोई रिकॉर्ड नहीं मिला. आपके खोज मानदंडों का विस्तार करें.		Không tìm thấy hồ sơ. Vui lòng mở rộng tiêu chí tìm kiếm của bạn.				Жодних записів не втявлено. Розширте критерії пошуку.									dummy
3670	No Reminders		No hay recordatorios	No hay recordatorios	Keine Erinnerungen	Geen reminders		Pas de rapels			没有提醒		Напоминаний нет			Tidak ada Pengingat	Καμία Υπενθύμιση				لا يوجد تذكيرات			Brak przypomnień		Non ci sono promemoria	कोई अनुस्मारक नहीं है		Không có nhắc nhở				Нагадувань немає 			یاد آوری وجود ندارد						dummy
3671	No Result Found, for the above search criteria.		Resultados no encontrados, para los criterios de búsqueda.	Resultados no encontrados, para los criterios de búsqueda.	Keine Ergebnisse für die gewählten Suchkriterien gefunden	Geen resultaten gevonden voor ingevoerde search vragen criteria		Pas de résultats trouvé, pour les critères de recherches ci-dessus			没有结果发现，上述搜索条件。	對於上述搜索條件，沒有發現結果。	Для указанного критерия поиска результатов не найдено.			Hasil Tidak Ditemukan, untuk kriteria pencarian diatas	Δεν βρέθηκαν αποτελέσματα για τα ανωτέρω κριτήρια.				لم يتم العثور على نتائج لمتطلبات البحث أعلاة		Yukarıdaki arama kriterleri için hiçbir sonuç bulunmadı.			Nessun Risltato trovato, per i criteri di ricerca soprastanti.	ऊपर के खोज मापदंड के लिए कोई परिणाम नहीं मिला.		Không tìm thấy kết quả nào cho tiêu chí tìm kiếm trên.				Для зазначених критеріїв пошуку результатів не знайдено.									dummy
3672	No Results		Sin resultados	Sin resultados	Keine Treffer	Geen resultaten		Pas de résultats			没有结果	沒有結果	Результатов нет			Hasil Tidak Ada	Χωρίς αποτελέσματα		Sem Resultados	Nenhum resultado	لا توجد نتائج 	Ingen resultater	Sonuç Yok	Brak wyników		Nessun Risultato	कोई परिणाम नहीं है		Không có Kết quả				Результатів немає			نتیجه ای وجود ندارد						dummy
3673	No results found					Geen resultaten gevonden		Pas de résultats trouvé									Δεν βρέθηκαν αποτελέσματα				لم يتم العثور على نتائج 			Brak wyników		Nessun risultato trovato	कोई परिणाम नहीं मिले						Результатів не знайдено									dummy
3674	No Results Found For Search	Inga resultat hittades i sökningen	Búsqueda sin resultado	Búsqueda sin resultado	Keine Treffer für die Suche gefunden	Geen resultaten gevonden voor zoekopdracht		Pas de résultats trouvé pour la recherche			对于搜索没有找到结果	搜尋沒有發現結果	При поиске результатов не найдено.			Tidak Ditemukan Hasil Pencarian Untuk	Χωρίς αποτελέσματα από την Αναζήτηση 		Sem Resultados	Nenhum resultados de busca	لم يتم العثور على نتائج للبحث	Inga resultat hittades i sökningen	Arama İçin Hiçbir Sonuç Bulunamadı			Nessun Risultato trovato con la ricerca	खोज के लिए कोई परिणाम नहीं मिले		Không Tìm thấy Kết quả nào				Під час пошуку результатів не знайдено.			نتیجه ای برای جستجو پیدا نشد						dummy
3675	No results found, please try again.		Ningun resultado, por favor intente de nuevo	Ningun resultado, por favor intente de nuevo	Keine Treffer gefunden, bitte wiederholen.	Geen resultaten gevonden, probeer opnieuw.		Pas de résultats trouvé, s\'il vous plait essayez encore.			找不到结果，请再试一次。						Χωρίς αποτελέσματα, παρακαλώ ξαναδοκιμάστε.				لا يتم العثور على نتائج, الرجاء المحاولة مرة آخرى 					Nessun risultato trovato, riprova.	कोई परिणाम नहीं मिले, पुन: प्रयास करें.						Результатів не знайдено, спробуйте ще раз.			نتیجه ای پیدا نشد، لطفا دوباره سعی کنید.						dummy
3676	No results, please tray again.	Inga resultat, försök igen.	Sin resultados, por favor intente de nuevo	Ningun resultado, por favor trate de nuevo	Keine Treffer, nochmal versuchen.	Geen resultaten, zoek nogmaals		Pas de résultats, s\'il vous plait essayez encore.			没有结果，请再次托盘。	沒有結果，請再試一次。	Результатов нет, попытайтесь еще раз.			Tidak ada hasil, silahkan baki lagi.	Χωρίς αποτέλεσμα, παρακαλώ δοκιμάστε ξανά. 		Sem resultado, por favor tente novamente.	Não há resultados, por favor bandeja novamente.	لا يوجد نتائج, الرجاء المحاولة مرة آخرى 	Inga resultat, försök igen.	Sonuç yok, lütfen tekrar deneyin			Nessun risultato, prova di nuovo.	कोई परिणाम नहीं, कृपया पुनः प्रयास करें.		Không có kết quả, vui lòng thử lại.				Результатів немає, спробуйте ще раз.			بی نتیجه، لطفا دوباره سعی کنید.						dummy
3677	No results, please try again.		Sin resultado, por favor intente de nuevo.	Sin resultados, por favor intente de nuevo	Keine Treffer, nochmal versuchen.	Geen resultaten, zoek nogmaals		Pas de résultats, s\'il vous plait essayez encore.			没有结果，请再试一次。	沒有結果，請再試試看	Результатов нет, попробуйте снова.			Tidak ada hasil, silahkan cari lagi.	Χωρίς αποτέλεσμα, παρακαλώ δοκιμάστε ξανά. 		Sem resultados, por favor tente novamente.	Não há resultados, por favor, tente novamente.	لا يوجد نتائج, الرجاء المحاولة مرة آخرى 	Ingen resultater, forsøg venligst igen	Sonuç yok, lütfen tekrar deneyin			Nessun risultato, prova di nuovo.	कोई परिणाम नहीं, कृपया पुनः प्रयास करें.		Không có kết quả, vui lòng thử lại.				Результатів немає, спробуйте ще раз.			بی نتیجه، لطفا دوباره سعی کنید.						dummy
3678	No Settings avaliable in this module																																									dummy
3679	No Show	Ej kommit på avtalad tid	Ausente	Ausente	Keine Anzeige	Niet gekomen		Pas d\'affichage			没有展示	無顯示	Не показывать			Tampilan Tidak Ada	Δεν προσήλθε		Faltou	Não Compareceu	لم يحضر المريض للزيارة	Ej kommit på avtalad tid	Gelmedi	Nie pokazuj		Non mostrare	नहीं दिखाएँ 		Chưa Đến				Не показувати			غیبت						dummy
3680	No signatures on file																																									dummy
3681	No Sinus Tenderness:		Ninguna sensibilidad del Seno: 	Ninguna sensibilidad del Seno: 		Sinus niet pijnlijk		Pas de tendresse des sinus			无窦嫩：	無竇壓痛：	Пазухи безболезненны:			Tidak ada Kesakitan Sinus:	Χωρίς ευαισθησία ηγμορίων		Sem dor sinusal	No Tenderness Sinus:	لا إيلامٌ فى الجيوب:		Sinüs hassasiyeti yok			Nessuna dolorabilità sinusale:	साइनस Tenderness नहीं है:		Không Đau xoang:				Пазухи неболючі:									dummy
3682	No skin dimpling or breast nodules	Ingen hud dimpling eller bröst knölar	Sin hoyuelos en la piel o nódulos en la mama	Sin hoyuelos en la piel o nódulos en la mama		Geen huidintrekkingen of knobbels in mammae		Pas de criblage de la peau ou de nodules dans les seins			没有皮肤压痕或乳腺结节	沒有皮膚壓痕或乳腺結節	Без кожной лимонной корочки или узлов молочной железы			Tidak ada dimpling atau bengkak kulit payudara	Χωρίς εισολκή δέρματος η οζίδια μαστού		Sem \'pele de laranja\', nem nódulos mamários	Nódulos no ondear da pele ou da mama	لا تكّور فى الجلد او عقد فى الثدي	Ingen hud dimpling eller bröst knölar	Memede nodul veya deri çöküntüsü yok			Non ci sono fossette della pelle o noduli della mammella 	त्वचा प्रगर्तन या स्तन पिंड नहीं है:		Không có dimpling da hoặc các nốt vú				Не спостерігається заглибин на шкірі чи вузлів на грудях									dummy
3683	NO SUCH CONTEXT NAME		NINGÚN NOMBRE DE CONTEXTO	NINGÚN NOMBRE DE CONTEXTO		Dergelijke CONSTANTEN naam bestaat niet					没有这样的上下文名称	沒有這樣的上下文名稱	ТАКОГО КОНТЕКСТНОГО ИМЕНИ НЕТ			KONTEKS NAMA TERSEBUT TIDAK ADA					لا يوجد مثل سياق الإسم هذا					NOME DEL CONTESTO SENZA TITOLO	ऐसी कोई संदर्भ नाम नहीं है:		KHÔNG TÊN BỐI CẢNH ĐÓ				ТАКОГО КОНТЕКСТНОГО ІМЕНІ НЕМАЄ			نام چنین چهار چوبی وجود ندارد						dummy
3684	No table selected! Select a table.					Geen tabel geselecteerd! Selecteer een tabel.		Pas de table sélectionné. Sélectionnez une table.									Δεν επελέγη πίνακας! Επιλέξτε έναν Πίνακα				لم يتم أختيار جدول ! يرجى أختيار جدول.					Nessuna tabella selezionata! Seleziona tabella.	कोई तालिका चयनित नहीं है! टेबल चुनें.						Таблицю не вибрано! Виберіть таблицю.									dummy
3685	No testicular tenderness, masses		No hay sensibilidad testicular, masas	No hay sensibilidad testicular, masas		Geen veranderd gevoel of knobbels aan testiskels		Pas de tendresses/masses testiculaire			没有睾丸触痛，群众	沒有睾丸壓痛，腫塊	Яички безболезненны, новообразований нет			Tidak ada kesakitan testis, massa	Χωρίς ορχική ευαισθησία, μάζες		Sem dor, nem massas testiculares	No ternura testicular, massas	لا يوجد إيلام او تكتلات بالخصية		Testiste hassasiyet, kitle yok			Non ci sono dolorabilità testicolari, masse	कोई वृषण Tenderness नहीं है, masses		Không có đau tinh hoàn, quần chúng				Яєчка неболючі, новоутворень немає									dummy
3686	No thrills or heaves		Ningunas emociones o tirones 	Ningunas emociones o tirones 		Geen thrills of heaves		Pas de frissons ou de nausées			没有惊险刺激或抛掷	沒有驚險刺激或拋擲	Без дрожания грудной стенки или выбухания			Tidak ada kecemasan atau nafas	Χωρίς ρίγη ή αναγούλες		Sem roncos, nem sibilos	No emoções ou heaves	لا توجد دبيبة او اهتزازات قلبية		Kalpte ele gelen titreşim veya kaldırma yok			Non si eccita o non si solleva	कोई रोमांच या पलीता नहीं है		Không có cảm giác mạnh hoặc cố nhấc				Немає тремтіння і підйомів									dummy
3687	No track selected																																									dummy
3688	No tracks have been documented.																																									dummy
3689	No visit		No hay visita	No hay Encuentro	Keie Konsultation	Geen bezoek		Pas de visite			没有门诊	沒有訪問	Нет посещений			Tidak ada kunjungan	Καμία επίσκεψη		Sem visita	Nenhuma visita	لا توجد زيارة	Ingen besøg	Vizit yok			Nessuna Visita	कोई यात्रा नहीं है	Fara vizite	Không có chuyến thăm				Немає відвідувань			بدون ملاقات پزشکی‌						dummy
3690	No vitals have been documented.		Constantes vitales no han sido documentadas.	Constantes vitales no han sido documentadas.	Keine Vitalitäten dokumentiert	Geen vitals vastgelegd		Aucun signe vitaux n\'a été documenté.			命脉已被记录在案。	沒有已被記錄的生命徵象。	Жизненно важные показатели не были зарегистрированы.			Tidak ada vital yang didokumentasikan	Δεν κατεγράφησαν ζωτικά.		Não há registos		لم يتم تسجيل اي مؤشرات حيوية		Hiçbir vital bulgu kaydedilmedi			Non è stato documentato nulla per i Vitali	कोई नब्ज दर्ज किया गया नहीं है.		Chưa ghi nhận thể trạng nào.				Життєво важливі показники не зареєстровані.			هیچ علائم حیاتی ثبت نشده است.						dummy
3691	No, Cancel		No, Cancelar	No, Cancelar	Nein, abbrechen	Nee, annuleren		Non, annulation			不，取消	不，取消	Нет, отменить			Tidak, Batalkan	Όχι, Ακύρωση		Não, Cancelar	Não, Cancelar	لا, الغ العملية		İptal yok			No, Annulla	नहीं, रद्द		Không, Hủy bỏ				Ні, відмінити									dummy
3692	No-fault Insurance including Auto is Primary		Ningún seguro de defecto incluyendo Auto es principal	Ningún seguro de defecto incluyendo Auto es principal		No-fault verzekering ook Auto is Primair					包括自动的无过失保险是小学		Безошибочное страхование, включая автоматическое, будет основным			Tidak ada kesalahan Asuransi termasuk Otomatis adalah Primer					لا - خطأ تأميني متضمن اوتو هو الأولي					No-Guasto Assicurazione primaria in automatico	कोई बीमा गलती नहीं है ऑटो प्राथमिक है 						Страхування автотранспортного засобу незалежно від винуватця зіткнення є первинним									dummy
3693	No:	Nr:	No:	No:	Nein:	Nee:		Non:			编号：	不：	Нет:			Tidak:	Όχι:		Não:	Não:	لا:	Nr:	No:			No:	नहीं:		Không:				Нет:									dummy
3694	Nocturia		Nocturia 	Nocturia 		Nycturie					夜尿	夜尿	Ноктурия			Nokturia	Νυκτουρία		Nicturia	Noctúria	سلس ليلي		Noktüri			Nicturia	निशामेह		Nocturia				Ніктурія, нічна поліурія			Nocturia						dummy
3695	Non Paid		No Pagado	No Pagado	Nicht Bezahlt	Niet betaald		Non payé			非付费	非付費	Не оплачено			Tidak Dibayar	Μη πληρωμένο				غير مدفوع	Ingen betalt	Ödenmemiş	Nie opłacone		Non Pagato	भुगतान नहीं		Không trả tiền				Не оплачено									dummy
3696	Non Reported Report		Informe No Reportado	Informe No Reportado		Niet aangegeven report		Enregistrement non reporté			非报告的报告	非已報告的報告	Несообщенный отчет			Laporan yang Tidak Dilaporkan	Αναφορά Μη Αναφερθέντων				تقرير غير مقرر		Rapor edilmemiş Rapor			Nessun Report segnalato	गैर प्रतिवेदित रिपोर्ट		Không báo cáo Báo cáo				Ненаданий звіт									dummy
3697	Non specific injury	Icke specifika skada	Lesión no específica 	Lesión no específica 	Unbestimmte Verletzung	Geen specifiek letsel		Pas de blessure spécifique			非特异性损伤	非特異性損傷	Нет конкретного повреждения			Cedera yang tidak spesifik	Μη ειδική κάκωση 		Lesão inespecífica	Non lesão específica	الإصابة غير محددة	Icke specifika skada	Spesifik olmayan yaralanma			Lasione non specifica	गैर विशिष्ट चोट		Không cụ thể chấn thương				Пошкодження невизначеного типу									dummy
3698	Non-electronic		No-electrónico	No-electrónico	Nicht-elektronisch	Niet electronisch					非电子	非電子化的	Неэлектронный			Non-elektronik	Μη-ηλεκτρονικά				غير الكتروني					Non-elettronico	गैर इलेक्ट्रॉनिक		Không điện tử				Неелектроннтй									dummy
3699	Non-Insulin Dependent Diabetes	Icke-insulinberoende diabetes	Non-insulin dependent diabetes	Diabetes no insulino dependiente	Nicht Insulin bedingter Diabetes	NIDDM		Diabètes non dépendant a l\'insuline			非胰岛素依赖型糖尿病	非胰島素依賴型糖尿病	Инсулинонезависимый диабет			Diabetes yang tidak Tergantung Insulin	Μη Ινσουλινοεξαρτώμενος Διαβήτης 		Diabetes não-insulino-dependente	Não-insulino-dependente	النوع الثاني من السكري غير المعتمد علي الإنسولين	Icke-insulinberoende diabetes	İnsüline bağlı olmayan diyabet			Diabete non isulino dipendente	गैर इंसुलिन निर्भर मधुमेह		Bệnh tiểu đường phụ thuộc Insulin				Не-інсулінонезалежний діабет			Non-Insulin Dependent Diabetes						dummy
3700	Non-Insured		No asegurado	No asegurado	Nicht Versichert	Niet verzekerd		Non assuré									Ανασφάλιστος/η				غير مؤمن					Non-assicurato	गैर बीमाकृत						Не застрахований									dummy
3701	Non-SRH Medical	Icke-SRH Medical	No-SRH Médico	No-SRH Médico		Niet-SRH Medisch					非生殖健康医疗	非生殖健康醫療	Медицинское сексуальное и репродуктивное здоровье			Kedokteran/Pengobatan Non-SRH	Μη-αναπαραγωγική υγεία (Ιατρικό)		Exame médico de Non-SRH	Non-SRH Médica	طبي ولكن غير صحي تناسلي او جنسي	Icke-SRH Medical	CSÜS dışı Tıbbi			Non-SRH Medical	गैर SRH मेडिकल		SRH y tế				Медичні аспекти, не пов\'язані з сексуальним і репродуктивним здоров\"ям									dummy
3702	Non-SRH Non-Medical	Icke-SRH icke-medicinska	No-SRH No-Médico	No-SRH No-Médico		Niet-SRH niet-medisch					非生殖健康的非医疗	非生殖健康的非醫療	Немедицинское сексуальное и репродуктивное здоровье			Non-Medis Non-SRH	Μη-αναπαραγωγική υγεία (Μη-ιατρικό)		Non-SRH Non-Medical	Non-SRH não-médicos	غير طبي و غير صحي تناسلي او جنسي	Icke-SRH icke-medicinska	CSÜS dışı Tıbbi Değil			Non-SRH Non-Medical	गैर SRH गैर मेडिकल		Không SRH Phi Y Tế				Немедичні аспекти, не пов\'язані з сексуальним і репродуктивним здоров\"ям									dummy
3703	None	Ingen	Ninguno	Ninguno	Keine 	Geen		Aucun(e)		Ingen	没有	沒有	Нет			Tak satupun	Κανένα		Nenhum	Nenhum	ولا واحِد	Ingen	Hiçbiri	Brak		Nessuno	कोई नहीं		Không có				Немає			هیچ موردی						dummy
3704	none	ingen	ninguno	ninguno	keine	geen		aucun(e)		ingen	没有	沒有	нет			tak satupun	κανένα		nenhum	nenhum	ولا واحِد	ingen	hiçbiri 	brak		nessuno	कोई नहीं		không có				немає			هیچ موردی						dummy
3705	None defined		No definido	No definido	Nichts definiert	Niet gedefinieerd		Aucun défini			没有定义	沒有定義	Не определено			Tidak didefinisikan	Δεν ορίστηκε κανένα 				ولا واحِد معرّف			brak zdefiniowanych		Niente di definito	कोई भी परिभाषित नहीं किया		Không xác định				Не визначено			هیچک موردی تعریف نشده						dummy
3706	None have been documented		No ha sido documentado	No ha sido documentado	Nichts wurde dokumentiert	Geen enkele is gedocumenteerd		Aucun n\'a été documenté			没有被记录在案	沒有被記錄在案	Не зарегистрировано			Tidak ada yang telah didokumentasikan	Δεν κατεγράφη τίποτα 		Nenhum documentado		ولا واحِد موثق		Hiçbiri belgelendirilmemiş.			Nulla è stato documentato	कोई भी प्रलेखित नहीं किया गया है		Không có gì được ghi nhận				Жоден не зареєстрований			هیچ مطلبی ثبت نشده است						dummy
3707	None of the above	Inget av ovanstående	Ninguna de las anteriores 	Ninguna de las anteriores 	Keiner der oben genannten	Geen van bovenstaande		Aucun de ceux au dessus		Ingen av de ovenfor	以上皆非	以上皆非	Нет из вышеуказанного			Tidak ada diatas	Κανένα από τα παραπάνω		Nenhuma das anteriores	Nenhuma das anteriores	ولا واحِد مما سبق	Inget av ovanstående	Yukarıdakilerin hiçbiri	Żaden z powyższych		Nessuno dei soprastanti	उपरोक्त में से कोई भी नहीं		Không có trong danh sách trên				Жоден із зазначеного вище			هیچکدام از موارد فوق						dummy
3708	None of the Top Distribution Row Can be Completly Blank.		Ninguna de las Filas de Distribución Superior puede estar Completamente en Blanco.	Ninguna de las Filas de Distribución Superior puede estar Completamente en Blanco.		Geen van de bovenste TOP regels kan leeg zijn					顶配行没有能够完全地空白。	沒有頂端分布行能夠完全地空白。	Ни одна основная строка предоставления не может быть полностью пустой.			Tidak ada satupun dari Baris Distribusi Bagian Atas bisa Benar-benar Kosong.	Καμία από τις επάνω γραμμές κατανομής δεν μπορεί να είναι τελείως κενή.				ولا واحِد من أسطر التوزيع العلويين يمكن أن يكون فارغا		En üst Dağılım Satırının hiçbiri tamamen boş bırakılamaz.			Nessuna delle riga di distribuzione superiore può essere completamente vuota.	शीर्ष वितरण पंक्ति में से कोई भी पूरी तरह से खाली नहीं हो सकता है.		Hàng phân phối Top thể là hoàn toàn trống.				Жодна лінійка не повинна залишатися повністю пустою									dummy
3709	Noninsulin Dependent Diabetes		Diabetes no insulino dependiente 	Diabetes no insulino dependiente 	Nicht Insulin bedingter Diabetes	NIDDM		Diabètes non dépendant a l\'insuline			非胰岛素依赖型	非胰島素依賴型糖尿病	Инсулинонезависимый диабет			Diabetes tidak Tergantung Insulin	Μη Ινσουλινοεξαρτώμενος Διαβήτης 		Diabetes não-insulino-dependente	Noninsulin Dependent Diabetes	النوع الثاني من السكري غير المعتمد علي الإنسولين		İnsüline bağlı olmayan diyabet			Diabete non insulino dipendente	गैरइंसुलिन निर्भर मधुमेह		Noninsulin phụ thuộc Bệnh tiểu đường				Не-інсулінонезалежний діабет									dummy
3710	Nor	Inte heller	No 	Tampoco 	noch	Nor					也不	也不	Также не			Maupun	ΚΦ		Nem	Nem	و لا حتي	Inte heller	Nor			Norm.	Nor		Cũng không				Також ні									dummy
3711	Normal	Normal	Normal	Normal	Unauffällig	Normaal		Normale		Normal	正常	正常	Обычная			Normal	Κανονική		Normal	Normal	طبيعي 	Normal	Normal 	Zwykły		Normale	सामान्य		Bình thường				Звичайний			عادی						dummy
3712	Normal BL		Normal BL	Normal BL		Normale BL					正常的“基本法”	正常的“基本法”	Обычный BL			BL Normal			BL normal	Normal BL	طبيعي للجهتين		Normal BL			Normale BL	सामान्य BL		Bình thường BL				Звичайний рахунок									dummy
3713	Normal Cardiac Exam:		Examen Cardiaco Normal: 	Examen Cardiaco Normal: 		Normaal card. onderzoek:		Examen cardiaque normal:			心脏正常考试：	正常心臟檢查：	Обычное кардиологическое обследование:			Pemeriksaan Jantung Normal:	Φυσιολ. εξέταση καρδιάς:		Exame Cardíaco normal:	Exame cardíaco normal:	فحص قلبي طبيعي:		Normal Kalp Muayenesi:			Esame Cardico Normale:	सामान्य कार्डिएक परीक्षा:		Kiểm tra Tim Bình thường:				Звичайне кардіологічне обстеження:			معاینه قلبی طبیعی:						dummy
3714	Normal Cardiac Exam: 		Examen Cardiaco Normal: 	Examen Cardiaco Normal: 		Normaal card. onderzoek: 		Examen cardiaque normal:			心脏正常考试：	正常心臟檢查：	Обычное кардиологическое обследование:			Pemeriksaan Jantung Normal:	Φυσιολ. εξέταση καρδιάς:		Exame Cardíaco normal:	Exame cardíaco normal:	فحص قلبي طبيعي:		Normal Kalp Muayenesi:			Esame Cardico Normale:	सामान्य कार्डिएक परीक्षा:		Kiểm tra Tim Bình thường:				Звичайне кардіологічне обстеження:			معاینه قلبی طبیعی:						dummy
3715	Normal Lung Exam:		Examen Normal del Pulmón: 	Examen Normal del Pulmón: 		Normaal longonderzoek:		Examen des poumons normal:		Normal Lunge Eksaminering:	正常肺组织考试：	正常肺臟檢查：	Обычное пульмонологическое обследование:			Pemeriksaan Paru-paru Normal:	Φυσιολ. εξέταση πνεύμονα:		Exame Pulmonar normal:	Exame Pulmonar Normal:	فحص رئوي طبيعي:		Normal Akciğer Muayenesi			Esame polmonare normale:	सामान्य फेफड़ों परीक्षा:		Kiểm tra Phổi Bình thường:				Звичайне пульмонологічне обстеження:			معاینه ریه طبیعی:						dummy
3716	Normal Lung Exam: 		Examen Normal del Pulmón:	Examen Normal del Pulmón:		Normaal longonderzoek:		Examen des poumons normal:		Normal Lunge Eksaminering:	正常肺组织考试：	正常肺臟檢查：	Обычное пульмонологическое обследование:			Pemeriksaan Paru-paru Normal:	Φυσιολ. εξέταση πνεύμονα:		Exame Pulmonar normal:	Exame Pulmonar Normal:	فحص رئوي طبيعي:		Normal Akciğer Muayenesi			Esame polmonare normale:	सामान्य फेफड़ों परीक्षा:		Kiểm tra Phổi Bình thường:				Звичайне пульмонологічне обстеження:			معاینه ریه طبیعی:						dummy
3717	Normal Office Visit		Visita normal en el Centro	Visita normal en el Centro		Normaal kantoorbezoek		Visite normale du bureau			普通办公室门诊	普通辦公室訪問	Обычное посещение в кабинете			Pemeriksaan Kunjungan Kantor/Kerja	Κανονική επίσκεψη γραφείου		Consulta normal	Normal Office Visite	زيارة عيادة طبيعية:		Normal Muayene Viziti			Visita in studio normale	सामान्य कार्यालय यात्रा	Vizita normala la birou	Lần khám ở Văn phòng Bình thường				Звичайний візит в кабінет лікаря			ملاقات پزشکی‌ عادی						dummy
3718	Normal Oropharynx:		Orofaringe normal:	Orofaringe normal:		Normale oropharynx					正常口咽：	正常口咽：	Обычный Oropharynx:			Orofaring Normal:	Φυσιολ. οροφάρυγγας:		Orofaringe normal:	Orofaringe normal:	فم و حنجرة طبيعيين:		Normal Orofarinks			Orofaringe normale:	सामान्य oropharynx:		Hầu họng Bình thường:				Звичайна ротоглотка (мезофарінкс):									dummy
3719	Normal Right		Derecho Normal 	Derecho Normal 	Normal Rechts	Normaal rechts		Droite normale		Normal Høyre	正常吗	右側正常	Обычный справа			Normal Kanan	Φυσιολ. Δεξιά		Direito normal	Normal Direito	طبيعي يمينا		Normal Sağ			Destro normale	सामान्य दाएँ		Bên phải Bình thường				Звичайний справа									dummy
3720	Normal Right:		Derecho Normal: 	Derecho Normal: 	Normal Rechts:	Normaal rechts:		Droite normale:		Normal Høyre:	正常右：	右側正常：	Обычный справа:			Normal Kanan:	Φυσιολ. Δεξιά:		Direito normal:	Normal Direito:	طبيعي يمينا:		Normal Sağ			Destro normale:	सामान्य दाएँ:		Bên phải Bình thường:				Звичайний справа:									dummy
